run_id,run_name,model_size,batch_size,context_length,mode,dtype,tool,window,stage,event_type,event_name,calls,cpu_self_us,cpu_total_us,cuda_self_us,cuda_total_us,cuda_event_elapsed_us,rank_in_stage,source_run
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,profile/measure,stage,profile/measure,1.0,54959.393999999826,243863.12300000002,0.0,30846.173999999795,0.0,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,zero_grad,stage,zero_grad,1.0,80.82999999995809,467.87099999998463,0.0,0.0,638.8159990310669,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,forward,stage,forward,1.0,10840.49000000066,52977.80799999999,0.0,20135.953999999532,54222.015380859375,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,stage,attention/scores,12.0,1110.7730000000738,4881.225000000035,0.0,760.6340000001073,0.0,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/softmax,stage,attention/softmax,12.0,857.198999999935,2842.585999999923,0.0,838.774999999936,0.0,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/value,stage,attention/value,12.0,634.655000000057,3536.957999999926,0.0,754.425000000163,0.0,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,loss,stage,loss,1.0,73.63199999998324,270.9899999999907,0.0,293.95000000006985,307.0400059223175,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,backward,stage,backward,1.0,79554.728,79582.80300000001,0.0,1.4400000000023283,78645.46966552734,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,optimizer,stage,optimizer,1.0,57.30999999999767,55279.37699999998,0.0,10414.830000000191,55686.84768676758,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::einsum,12,511.2060000002093,2217.3669999999693,0.0,384.606000000058,,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::where,24,424.87300000013784,1634.4629999999888,191.90300000007846,401.56600000016624,,2,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::bmm,12,560.5400000000955,736.0879999999888,384.606000000058,384.606000000058,,3,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,cudaLaunchKernel,48,500.8759999999893,500.8759999999893,0.0,0.0,,4,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::div,12,344.85699999993085,470.2819999999774,166.36499999996158,166.36499999996158,,5,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::permute,60,390.49099999977625,452.10699999987264,0.0,0.0,,6,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::scalar_tensor,12,84.8729999998177,404.5909999998985,0.0,17.760000000009313,,7,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::reshape,24,117.42699999993783,224.88100000005215,0.0,0.0,,8,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::fill_,12,122.31100000001607,217.15200000006007,17.760000000009313,17.760000000009313,,9,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/scores,op,aten::unsqueeze,24,175.83999999973457,206.03899999993155,0.0,0.0,,10,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/softmax,op,aten::max,12,425.2190000001283,564.6040000000503,214.7829999999958,214.7829999999958,,1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/softmax,op,cudaLaunchKernel,60,525.0669999999518,525.0669999999518,0.0,0.0,,2,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
P1,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof,small,4,256,train_step,fp32,torch.profiler,profile/measure,attention/softmax,op,aten::sum,12,305.48199999998906,404.2919999999576,112.57399999993504,112.57399999993504,,3,profile-P1_small_bs4_ctx256_train_step_fp32_torchprof.metadata.json
