source_stats_file,rank,kernel_name,kernel_kind,time_value,calls
results/nsys/large_forward_backward_ctx1024_nsys_stats.csv,1,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,141655268.0,181
results/nsys/large_forward_backward_ctx1024_nsys_stats.csv,2,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params),matmul,85588781.0,73
results/nsys/large_forward_backward_ctx1024_nsys_stats.csv,3,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params),matmul,81907926.0,181
results/nsys/large_forward_backward_ctx1024_nsys_stats.csv,4,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nt_align1>(T1::Params),matmul,81264832.0,72
results/nsys/large_forward_backward_ctx1024_nsys_stats.csv,5,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,65283787.0,216
results/nsys/large_forward_backward_ctx256_nsys_stats.csv,1,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize256x128x8_stage3_warpsize4x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,32901405.0,217
results/nsys/large_forward_backward_ctx256_nsys_stats.csv,2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,25335736.0,72
results/nsys/large_forward_backward_ctx256_nsys_stats.csv,3,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(T1::Params),matmul,22777714.0,72
results/nsys/large_forward_backward_ctx256_nsys_stats.csv,4,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,21231104.0,180
results/nsys/large_forward_backward_ctx256_nsys_stats.csv,5,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x256x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,13377919.0,144
results/nsys/large_forward_backward_ctx512_nsys_stats.csv,1,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_8x4_nt_align1>(T1::Params),matmul,64583164.0,108
results/nsys/large_forward_backward_ctx512_nsys_stats.csv,2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,45022813.0,72
results/nsys/large_forward_backward_ctx512_nsys_stats.csv,3,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,43098547.0,181
results/nsys/large_forward_backward_ctx512_nsys_stats.csv,4,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,42273629.0,73
results/nsys/large_forward_backward_ctx512_nsys_stats.csv,5,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,30322721.0,216
results/nsys/large_forward_ctx1024_nsys_stats.csv,1,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,129366567.0,145
results/nsys/large_forward_ctx1024_nsys_stats.csv,2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,54177815.0,144
results/nsys/large_forward_ctx1024_nsys_stats.csv,3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",other,10581864.0,36
results/nsys/large_forward_ctx1024_nsys_stats.csv,4,sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,9505108.0,36
results/nsys/large_forward_ctx1024_nsys_stats.csv,5,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",other,9198807.0,36
results/nsys/large_forward_ctx256_nsys_stats.csv,1,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,25332181.0,72
results/nsys/large_forward_ctx256_nsys_stats.csv,2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,21216067.0,180
results/nsys/large_forward_ctx256_nsys_stats.csv,3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",other,2065286.0,434
results/nsys/large_forward_ctx256_nsys_stats.csv,4,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_split_k_kernel__5x_cublas,matmul,1273997.0,180
results/nsys/large_forward_ctx256_nsys_stats.csv,5,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,1139567.0,36
results/nsys/large_forward_ctx512_nsys_stats.csv,1,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,45005429.0,72
results/nsys/large_forward_ctx512_nsys_stats.csv,2,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,matmul,43138376.0,181
