kind,implementation,model_size,sequence_length,head_dim,num_layers,batch_size,dtype,causal,phase,cold_start_ms,samples,p20_ms,p50_ms,p80_ms,mean_ms,peak_allocated_mib,peak_reserved_mib,speedup_vs_eager,status,error_type
attention,compiled,,2048,128,,1,bf16,true,backward,343.3412993326783,957,0.22937600314617157,0.23132799565792084,0.23449599742889404,0.2350355527804563,36.25,118.0,1.049107780975446,complete,
attention,compiled,,2048,128,,1,bf16,true,forward,2464.398973621428,1363,0.14220799505710602,0.14336000382900238,0.1454080045223236,0.1439857963070831,18.625,116.0,1.051115991546169,complete,
attention,compiled,,2048,128,,1,bf16,true,forward_backward,1271.251211874187,553,0.38707199692726135,0.39318400621414185,0.4030464053153992,0.4016195592785399,35.25,118.0,1.1224871458992172,complete,
attention,compiled,,512,64,,1,bf16,true,backward,297.9100327938795,902,0.24368000030517578,0.24582399427890778,0.2499839961528778,0.24505443821460868,17.75,22.0,0.9989586571933304,complete,
attention,compiled,,512,64,,1,bf16,true,forward,3646.6701524332166,1274,0.14336000382900238,0.14457599818706512,0.14643199741840363,0.14538438997145164,8.9375,22.0,1.0694997934001633,complete,
attention,compiled,,512,64,,1,bf16,true,forward_backward,1224.891704507172,363,0.37785598635673523,0.3829759955406189,0.3959551990032196,0.41101381782001045,17.625,22.0,1.1951871757627033,complete,
attention,compiled,,8192,128,,1,bf16,true,backward,639.9748381227255,255,1.1233279705047607,1.125599980354309,1.130502414703369,1.1339201216604196,288.25,406.0,2.2115422680923347,complete,
attention,compiled,,8192,128,,1,bf16,true,forward,2851.8533408641815,443,0.6335679888725281,0.634880006313324,0.6369280219078064,0.6354172840613543,146.125,406.0,2.8725807089110953,complete,
attention,compiled,,8192,128,,1,bf16,true,forward_backward,1316.3024727255106,168,1.7119807720184326,1.7159839868545532,1.7192959785461426,1.717663048988297,284.25,406.0,2.4812539211434306,complete,
attention,eager,,2048,128,,1,bf16,true,backward,,591,0.24188800156116486,0.24268800020217896,0.24473600089550018,0.24543079479192517,55.25,86.0,1.0,complete,
attention,eager,,2048,128,,1,bf16,true,forward,,469,0.15029120147228242,0.15068799257278442,0.1525759994983673,0.1525594894248031,34.15625,44.0,1.0,complete,
attention,eager,,2048,128,,1,bf16,true,forward_backward,,264,0.43929600715637207,0.4413439929485321,0.44565120339393616,0.4476507871665738,55.25,86.0,1.0,complete,
attention,eager,,512,64,,1,bf16,true,backward,,611,0.24403199553489685,0.24556800723075867,0.24691200256347656,0.24777123293002576,18.875,24.0,1.0,complete,
attention,eager,,512,64,,1,bf16,true,forward,,395,0.1536639928817749,0.15462400019168854,0.15649279952049255,0.15549188795723493,9.8828125,22.0,1.0,complete,
attention,eager,,512,64,,1,bf16,true,forward_backward,,259,0.45479040741920473,0.45772799849510193,0.4627776086330414,0.4649314605361246,18.875,24.0,1.0,complete,
attention,eager,,8192,128,,1,bf16,true,backward,,115,2.486272096633911,2.489311933517456,2.4948543548583983,2.4907467075016188,604.25,662.0,1.0,complete,
attention,eager,,8192,128,,1,bf16,true,forward,,158,1.8200639963150025,1.8237440586090088,1.8405887842178346,1.8316840567166293,400.25,406.0,1.0,complete,
attention,eager,,8192,128,,1,bf16,true,forward_backward,,68,4.254905700683594,4.257791996002197,4.264179134368897,4.262351078145644,604.25,790.0,1.0,complete,
model,compiled,small,512,,12,1,bf16_autocast_fp32_params,,forward,22585.35783085972,64,4.617004776000977,4.640703916549683,4.662681674957275,4.64079350233078,1114.9033203125,1206.0,3.6220711907504746,complete,
model,compiled,small,512,,12,1,bf16_autocast_fp32_params,,forward_backward,26378.145206719637,23,12.92952938079834,13.020159721374512,13.420806694030762,13.28386932870616,1174.669921875,1338.0,3.557373390483751,complete,
model,compiled,small,512,,12,1,bf16_autocast_fp32_params,,train_step,17954.16380558163,12,24.777881622314453,24.798592567443848,24.82040328979492,24.796805381774902,2502.53076171875,2830.0,2.3268623499507313,complete,
model,eager,small,512,,12,1,bf16_autocast_fp32_params,,forward,,17,16.65537910461426,16.8089599609375,16.94885139465332,16.893120148602655,1331.7626953125,1370.0,1.0,complete,
model,eager,small,512,,12,1,bf16_autocast_fp32_params,,forward_backward,,7,46.24628601074219,46.317569732666016,46.336255645751955,46.29405266898019,1386.9765625,1470.0,1.0,complete,
model,eager,small,512,,12,1,bf16_autocast_fp32_params,,train_step,,6,57.65324783325195,57.702911376953125,57.80992126464844,58.369194666544594,2504.49951171875,2830.0,1.0,complete,
