run_name,model_size,context_length,mode,dtype,batch_size,stage_range,calls_or_ranges,total_duration_ms,avg_duration_ms,max_duration_ms,source,status
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,forward,1,27.669044,27.669044,27.669044,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,backward,1,44.548876,44.548876,44.548876,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,optimizer,1,20.234113,20.234113,20.234113,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,attention/scores,12,1.651638,0.137636,0.17413,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,attention/softmax,12,1.068454,0.089038,0.097092,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,attention/value,12,1.550526,0.129211,0.143279,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,forward,1,34.433746,34.433746,34.433746,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,backward,1,57.399522,57.399522,57.399522,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,optimizer,1,25.520297,25.520297,25.520297,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,attention/scores,12,1.950255,0.162521,0.272746,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,attention/softmax,12,1.433536,0.119461,0.239522,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx512_bs4_train_step_fp32,small,512,train_step,fp32,4,attention/value,12,2.156325,0.179694,0.238826,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,forward,1,35.226819,35.226819,35.226819,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,backward,1,56.100533,56.100533,56.100533,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,optimizer,1,25.485822,25.485822,25.485822,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,attention/scores,12,2.289375,0.190781,0.230439,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,attention/softmax,12,1.354508,0.112876,0.13108,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
small_ctx1024_bs4_train_step_fp32,small,1024,train_step,fp32,4,attention/value,12,2.308157,0.192346,0.209182,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,forward,1,88.273005,88.273005,88.273005,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,backward,1,147.778635,147.778635,147.778635,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,optimizer,1,69.584741,69.584741,69.584741,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,attention/scores,36,5.759365,0.159982,0.598094,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,attention/softmax,36,3.578293,0.099397,0.135587,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx256_bs4_train_step_fp32,large,256,train_step,fp32,4,attention/value,36,5.2298,0.145272,0.180208,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,forward,1,97.092806,97.092806,97.092806,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,backward,1,171.462799,171.462799,171.462799,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,optimizer,1,108.447146,108.447146,108.447146,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,attention/scores,36,6.18697,0.17186,0.232512,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,attention/softmax,36,3.774991,0.104861,0.145025,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx512_bs4_train_step_fp32,large,512,train_step,fp32,4,attention/value,36,6.843513,0.190098,0.839461,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,forward,1,102.48737,102.48737,102.48737,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,backward,1,181.778196,181.778196,181.778196,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,optimizer,1,121.460294,121.460294,121.460294,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,attention/scores,36,6.701123,0.186142,0.239937,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,attention/softmax,36,3.904593,0.108461,0.130216,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
large_ctx1024_bs4_train_step_fp32,large,1024,train_step,fp32,4,attention/value,36,7.36186,0.204496,0.956918,NVTX_EVENTS within profile/measure in local Nsight SQLite; SQLite not submitted,OK
