run_name,model_size,context_length,mode,dtype,batch_size,tool,trace_file_local_name,stage_range,report,rank,category,name,time_percent,total_time_ns,calls_or_instances,avg_ns,measured_step_seconds,status
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,1,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::AUnaryFunctor[float, float...",12.3,14999180,4296,3491.4,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,2,elementwise/mask/update,"void at::native::vectorized_elementwise_kernel[(int)4, at::native::CUDAFunctor_add[float], st...",12.0,14540429,4050,3590.2,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,3,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",7.2,8703943,1086,8014.7,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,4,matmul/gemm,redacted_arch_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize64x128x32_warpgroupsize1x1x1_execute_segment_k...,6.4,7809607,438,17830.2,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_gpu_kernel_summary,5,elementwise/mask/update,"void at::native::elementwise_kernel[(int)128, (int)2, void at::native::gpu_kernel_impl_nocast...",5.7,6909922,1758,3930.6,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,1,other,cudaLaunchKernel,42.5,368033991,20258,18167.3,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,2,other,cudaMalloc,26.3,228169128,213,1071216.6,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,3,other,cudaDeviceSynchronize,20.7,179621696,5,35924339.2,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,4,copy/concat,cudaMemcpyAsync,5.6,48432924,268,180719.9,0.09324357658624649,OK
small_ctx256_bs4_train_step_fp32,small,256,train_step,fp32,4,Nsight Systems CLI stats,small_ctx256_bs4_train_step_fp32.nsys-rep,profile/measure train_step; representative UI screenshots inspect forward/backward/optimizer and attention subranges,cuda_api_summary,5,other,cuLibraryLoadData,1.6,14118323,4,3529580.8,0.09324357658624649,OK
