model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,1024,fp32,cuda_event,backward,1,,,126749.34387207031,
medium,1,1024,fp32,cuda_event,forward,1,,,65180.80139160156,
medium,1,1024,fp32,cuda_event,optimizer,1,,,75549.02648925781,
medium,1,1024,fp32,torch.profiler,profile/measure,1,269644.511,2140.8450000000303,78400.11299999892,0.0
medium,1,1024,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0.0,0.0,75303.30700000003,75303.30700000003
medium,1,1024,fp32,torch.profiler,aten::bmm,651,20983.993999999857,14361.213999999869,71765.85299999977,71765.85299999977
medium,1,1024,fp32,torch.profiler,forward,1,0.0,0.0,64850.117000000006,64850.117000000006
medium,1,1024,fp32,torch.profiler,forward,1,64507.99800000001,13805.695000000102,48092.19699999986,0.0
medium,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,217,18291.163999999713,2000.1899999998423,44722.93899999985,0.0
medium,1,1024,fp32,torch.profiler,BmmBackward0,217,16290.973999999871,1684.0479999997187,44722.93899999985,0.0
medium,1,1024,fp32,torch.profiler,aten::mul,2382,37132.57099999982,22654.253999998502,32404.20899999979,32395.696999999804
medium,1,1024,fp32,torch.profiler,optimizer,1,74659.595,93.21300000001793,30301.099999999104,0.0
medium,1,1024,fp32,torch.profiler,Optimizer.step#AdamW.step,1,74566.38199999998,19980.641999999643,30301.099999999104,0.0
medium,1,1024,fp32,torch.profiler,aten::einsum,217,22947.74700000008,4759.864999999715,27042.91399999991,0.0
medium,1,1024,fp32,torch.profiler,autograd::engine::evaluate_function: DivBackward0,48,3542.983999999924,507.7529999998951,24615.279999999955,0.0
medium,1,1024,fp32,torch.profiler,ampere_sgemm_128x64_tn,169,0.0,0.0,22923.625000000015,22923.625000000015
medium,1,1024,fp32,torch.profiler,DivBackward0,48,2586.4990000000544,334.0219999999972,22228.65399999995,0.0
medium,1,1024,fp32,torch.profiler,aten::div,414,6848.466000000555,4454.501000000641,21723.822000000346,21723.822000000346
